property_code,property,comp,link,Item Type,Year Built,Number of Units and Stories,Status,Address,Floor Plan,Bed,Bath,Unit,Price,SF,Available,Move-in Special,Time of Scraping
,Walnut Ridge Apartments,Summer House,https://www.apartments.com/summer-house-apartment-homes-corpus-christi-tx/w1sfjbj/,Floor Plan,1983,136 units/2 stories,,"5401 Burnham Dr, Corpus Christi, TX 78413","1 bedroom, 1 bathroom",1,1,,Call for Rent,664,Soon,,11-October-2023
,Walnut Ridge Apartments,Summer House,https://www.apartments.com/summer-house-apartment-homes-corpus-christi-tx/w1sfjbj/,Floor Plan,1983,136 units/2 stories,,"5401 Burnham Dr, Corpus Christi, TX 78413","1 bedroom, 1 bathroom",1,1,,Call for Rent,750,Soon,,11-October-2023
,Walnut Ridge Apartments,Summer House,https://www.apartments.com/summer-house-apartment-homes-corpus-christi-tx/w1sfjbj/,Floor Plan,1983,136 units/2 stories,,"5401 Burnham Dr, Corpus Christi, TX 78413","2 bedroom, 1 bathroom",2,1,,"$1,499 - $1,549",850,Now,,11-October-2023
,Walnut Ridge Apartments,Summer House,https://www.apartments.com/summer-house-apartment-homes-corpus-christi-tx/w1sfjbj/,Floor Plan,1983,136 units/2 stories,,"5401 Burnham Dr, Corpus Christi, TX 78413","2 bedroom, 2 bathroom",2,2,,"$1,599 - $1,649",939,Now,,11-October-2023
,Walnut Ridge Apartments,Copper Ridge,https://www.apartments.com/copper-ridge-corpus-christi-tx/z2mqz0x/,Floor Plan,1985,344 units/3 stories,,"6635 S Staples St, Corpus Christi, TX 78413",AM,1,1,,"$969 - $1,047",543,,,11-October-2023
,Walnut Ridge Apartments,Copper Ridge,https://www.apartments.com/copper-ridge-corpus-christi-tx/z2mqz0x/,Floor Plan,1985,344 units/3 stories,,"6635 S Staples St, Corpus Christi, TX 78413",A2wd,1,1,,"$1,029 - $1,108",643,,,11-October-2023
,Walnut Ridge Apartments,Copper Ridge,https://www.apartments.com/copper-ridge-corpus-christi-tx/z2mqz0x/,Floor Plan,1985,344 units/3 stories,,"6635 S Staples St, Corpus Christi, TX 78413",A4,1,1,,"$1,046 - $1,164",773,,,11-October-2023
,Walnut Ridge Apartments,Copper Ridge,https://www.apartments.com/copper-ridge-corpus-christi-tx/z2mqz0x/,Floor Plan,1985,344 units/3 stories,,"6635 S Staples St, Corpus Christi, TX 78413",A2,1,1,,$939 - $943,643,,,11-October-2023
,Walnut Ridge Apartments,Copper Ridge,https://www.apartments.com/copper-ridge-corpus-christi-tx/z2mqz0x/,Floor Plan,1985,344 units/3 stories,,"6635 S Staples St, Corpus Christi, TX 78413",A4U,1,1,,"$1,048 - $1,216",773,,,11-October-2023
,Walnut Ridge Apartments,Copper Ridge,https://www.apartments.com/copper-ridge-corpus-christi-tx/z2mqz0x/,Floor Plan,1985,344 units/3 stories,,"6635 S Staples St, Corpus Christi, TX 78413",AA,1,1,,$918 - $992,543,,,11-October-2023
,Walnut Ridge Apartments,Copper Ridge,https://www.apartments.com/copper-ridge-corpus-christi-tx/z2mqz0x/,Floor Plan,1985,344 units/3 stories,,"6635 S Staples St, Corpus Christi, TX 78413",A2U,1,1,,"$1,047",643,,,11-October-2023
,Walnut Ridge Apartments,Copper Ridge,https://www.apartments.com/copper-ridge-corpus-christi-tx/z2mqz0x/,Floor Plan,1985,344 units/3 stories,,"6635 S Staples St, Corpus Christi, TX 78413",C1U,2,2,,"$1,257",1034,,,11-October-2023
,Walnut Ridge Apartments,Copper Ridge,https://www.apartments.com/copper-ridge-corpus-christi-tx/z2mqz0x/,Floor Plan,1985,344 units/3 stories,,"6635 S Staples St, Corpus Christi, TX 78413",B2,2,2,,"$1,166 - $1,261",998,,,11-October-2023
,Walnut Ridge Apartments,Copper Ridge,https://www.apartments.com/copper-ridge-corpus-christi-tx/z2mqz0x/,Floor Plan,1985,344 units/3 stories,,"6635 S Staples St, Corpus Christi, TX 78413",C1,2,2,,"$1,133 - $1,236",1034,,,11-October-2023
,Walnut Ridge Apartments,Copper Ridge,https://www.apartments.com/copper-ridge-corpus-christi-tx/z2mqz0x/,Floor Plan,1985,344 units/3 stories,,"6635 S Staples St, Corpus Christi, TX 78413",B2U,2,2,,"$1,381",998,,,11-October-2023
,Walnut Ridge Apartments,Breakers,https://www.apartments.com/breakers-corpus-christi-tx/lr4ebbd/,Unit,1996,288 units/3 stories,,"4901 Saratoga Blvd, Corpus Christi, TX 78413",A,1,1,1327,1231.0,651.0,Now,Cozy Up! Lease today and receive up to $1000 gift card! BONUS: $99 admin fee $100 deposit!* *restrictions apply,11-October-2023
,Walnut Ridge Apartments,Breakers,https://www.apartments.com/breakers-corpus-christi-tx/lr4ebbd/,Unit,1996,288 units/3 stories,,"4901 Saratoga Blvd, Corpus Christi, TX 78413",A,1,1,0516,1283.0,651.0,Oct. 30,Cozy Up! Lease today and receive up to $1000 gift card! BONUS: $99 admin fee $100 deposit!* *restrictions apply,11-October-2023
,Walnut Ridge Apartments,Breakers,https://www.apartments.com/breakers-corpus-christi-tx/lr4ebbd/,Unit,1996,288 units/3 stories,,"4901 Saratoga Blvd, Corpus Christi, TX 78413",A,1,1,0536,1223.0,651.0,Dec. 8,Cozy Up! Lease today and receive up to $1000 gift card! BONUS: $99 admin fee $100 deposit!* *restrictions apply,11-October-2023
,Walnut Ridge Apartments,Breakers,https://www.apartments.com/breakers-corpus-christi-tx/lr4ebbd/,Unit,1996,288 units/3 stories,,"4901 Saratoga Blvd, Corpus Christi, TX 78413",A,1,1,0432,1225.0,651.0,Dec. 19,Cozy Up! Lease today and receive up to $1000 gift card! BONUS: $99 admin fee $100 deposit!* *restrictions apply,11-October-2023
,Walnut Ridge Apartments,Breakers,https://www.apartments.com/breakers-corpus-christi-tx/lr4ebbd/,Unit,1996,288 units/3 stories,,"4901 Saratoga Blvd, Corpus Christi, TX 78413",B,1,1,1033,1246.0,757.0,Now,Cozy Up! Lease today and receive up to $1000 gift card! BONUS: $99 admin fee $100 deposit!* *restrictions apply,11-October-2023
,Walnut Ridge Apartments,Breakers,https://www.apartments.com/breakers-corpus-christi-tx/lr4ebbd/,Unit,1996,288 units/3 stories,,"4901 Saratoga Blvd, Corpus Christi, TX 78413",B,1,1,1037,1246.0,757.0,Now,Cozy Up! Lease today and receive up to $1000 gift card! BONUS: $99 admin fee $100 deposit!* *restrictions apply,11-October-2023
,Walnut Ridge Apartments,Breakers,https://www.apartments.com/breakers-corpus-christi-tx/lr4ebbd/,Unit,1996,288 units/3 stories,,"4901 Saratoga Blvd, Corpus Christi, TX 78413",B,1,1,1437,1262.0,757.0,Now,Cozy Up! Lease today and receive up to $1000 gift card! BONUS: $99 admin fee $100 deposit!* *restrictions apply,11-October-2023
,Walnut Ridge Apartments,Breakers,https://www.apartments.com/breakers-corpus-christi-tx/lr4ebbd/,Unit,1996,288 units/3 stories,,"4901 Saratoga Blvd, Corpus Christi, TX 78413",B,1,1,1432,1267.0,757.0,Now,Cozy Up! Lease today and receive up to $1000 gift card! BONUS: $99 admin fee $100 deposit!* *restrictions apply,11-October-2023
,Walnut Ridge Apartments,Breakers,https://www.apartments.com/breakers-corpus-christi-tx/lr4ebbd/,Unit,1996,288 units/3 stories,,"4901 Saratoga Blvd, Corpus Christi, TX 78413",B,1,1,0936,1292.0,757.0,Now,Cozy Up! Lease today and receive up to $1000 gift card! BONUS: $99 admin fee $100 deposit!* *restrictions apply,11-October-2023
,Walnut Ridge Apartments,Breakers,https://www.apartments.com/breakers-corpus-christi-tx/lr4ebbd/,Unit,1996,288 units/3 stories,,"4901 Saratoga Blvd, Corpus Christi, TX 78413",B,1,1,0926,1268.0,757.0,Nov. 12,Cozy Up! Lease today and receive up to $1000 gift card! BONUS: $99 admin fee $100 deposit!* *restrictions apply,11-October-2023
,Walnut Ridge Apartments,Breakers,https://www.apartments.com/breakers-corpus-christi-tx/lr4ebbd/,Unit,1996,288 units/3 stories,,"4901 Saratoga Blvd, Corpus Christi, TX 78413",A,1,1,0723,1277.0,651.0,Now,Cozy Up! Lease today and receive up to $1000 gift card! BONUS: $99 admin fee $100 deposit!* *restrictions apply,11-October-2023
,Walnut Ridge Apartments,Breakers,https://www.apartments.com/breakers-corpus-christi-tx/lr4ebbd/,Unit,1996,288 units/3 stories,,"4901 Saratoga Blvd, Corpus Christi, TX 78413",A,1,1,0633,1288.0,651.0,Nov. 8,Cozy Up! Lease today and receive up to $1000 gift card! BONUS: $99 admin fee $100 deposit!* *restrictions apply,11-October-2023
